,Name,Sex,Age,Team,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
51139,GEORGES DAVIEL DE LA NZIRE,M,17,FRANCE,FRANCE,FRA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 800 METRES,NONE
33940,EUGNE HENRI CALLOT,M,20,FRANCE,FRANCE,FRA,1896 SUMMER,1896,SUMMER,ATHINA,FENCING,"FENCING MEN'S FOIL, INDIVIDUAL",SILVER
51201,HENRI DE LABORDE,M,25,FRANCE,FRANCE,FRA,1896 SUMMER,1896,SUMMER,ATHINA,FENCING,"FENCING MEN'S FOIL, INDIVIDUAL",NONE
52537,J. DEFERT,M,25,FRANCE,FRANCE,FRA,1896 SUMMER,1896,SUMMER,ATHINA,TENNIS,TENNIS MEN'S SINGLES,NONE
63067,LAUNCESTON ELLIOT,M,21,GREAT BRITAIN,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 100 METRES,NONE
16001,EDWARD BATTEL,M,25,GREAT BRITAIN,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,CYCLING,CYCLING MEN'S 100 KILOMETRES,NONE
16000,EDWARD BATTEL,M,25,GREAT BRITAIN,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,CYCLING,CYCLING MEN'S 333 METRES TIME TRIAL,NONE
15999,EDWARD BATTEL,M,25,GREAT BRITAIN,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,CYCLING,"CYCLING MEN'S ROAD RACE, INDIVIDUAL",BRONZE
63071,LAUNCESTON ELLIOT,M,21,GREAT BRITAIN,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S ROPE CLIMBING,NONE
24683,JOHN MARY PIUS BOLAND,M,25,GREAT BRITAIN/GERMANY,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,TENNIS,TENNIS MEN'S DOUBLES,GOLD
24682,JOHN MARY PIUS BOLAND,M,25,GREAT BRITAIN,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,TENNIS,TENNIS MEN'S SINGLES,GOLD
63068,LAUNCESTON ELLIOT,M,21,GREAT BRITAIN,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,WEIGHTLIFTING,"WEIGHTLIFTING MEN'S UNLIMITED, ONE HAND",GOLD
63069,LAUNCESTON ELLIOT,M,21,GREAT BRITAIN,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,WEIGHTLIFTING,"WEIGHTLIFTING MEN'S UNLIMITED, TWO HANDS",SILVER
63070,LAUNCESTON ELLIOT,M,21,GREAT BRITAIN,GREAT BRITAIN,GBR,1896 SUMMER,1896,SUMMER,ATHINA,WRESTLING,"WRESTLING MEN'S UNLIMITED CLASS, GRECO-ROMAN",NONE
56762,KURT WILHELM DOERRY,M,21,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 100 METRES,NONE
56764,KURT WILHELM DOERRY,M,21,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 110 METRES HURDLES,NONE
56763,KURT WILHELM DOERRY,M,21,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 400 METRES,NONE
23915,CONRAD HELMUT FRITZ BCKER,M,25,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S HORIZONTAL BAR,NONE
23916,CONRAD HELMUT FRITZ BCKER,M,25,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,"GYMNASTICS MEN'S HORIZONTAL BAR, TEAMS",GOLD
23912,CONRAD HELMUT FRITZ BCKER,M,25,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S HORSE VAULT,NONE
23913,CONRAD HELMUT FRITZ BCKER,M,25,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S PARALLEL BARS,NONE
23914,CONRAD HELMUT FRITZ BCKER,M,25,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,"GYMNASTICS MEN'S PARALLEL BARS, TEAMS",GOLD
23918,CONRAD HELMUT FRITZ BCKER,M,25,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S POMMELLED HORSE,NONE
23917,CONRAD HELMUT FRITZ BCKER,M,25,GERMANY,GERMANY,GER,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S RINGS,NONE
68790,ANGELOS FETSIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,"ATHLETICS MEN'S 1,500 METRES",NONE
7348,ANASTASIOS ANDREOU,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 110 METRES HURDLES,NONE
68789,ANGELOS FETSIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 800 METRES,NONE
18433,SPYRIDON BELOKAS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S MARATHON,NONE
53221,DIMITRIOS DELIGIANNIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S MARATHON,NONE
48644,EVANGELOS DAMASKOS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S POLE VAULT,BRONZE
10332,GEORGIOS ASPIOTIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,CYCLING,"CYCLING MEN'S ROAD RACE, INDIVIDUAL",NONE
7498,NIKOLAOS ANDRIAKOPOULOS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S ROPE CLIMBING,GOLD
57519,NIKOLAOS DORAKIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SHOOTING,"SHOOTING MEN'S FREE PISTOL, 30 METRES",NONE
8144,ANTELOTHANASIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SHOOTING,"SHOOTING MEN'S FREE RIFLE, THREE POSITIONS, 300 METRES",NONE
54961,GEORGIOS DIAMANTIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SHOOTING,"SHOOTING MEN'S FREE RIFLE, THREE POSITIONS, 300 METRES",NONE
68787,ALEXIOS FETSIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SHOOTING,"SHOOTING MEN'S FREE RIFLE, THREE POSITIONS, 300 METRES",NONE
57520,NIKOLAOS DORAKIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SHOOTING,"SHOOTING MEN'S MILITARY PISTOL, 25 METRES",BRONZE
54962,GEORGIOS DIAMANTIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SHOOTING,"SHOOTING MEN'S MILITARY RIFLE, 200 METRES",NONE
68788,ALEXIOS FETSIS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SHOOTING,"SHOOTING MEN'S MILITARY RIFLE, 200 METRES",NONE
7353,IOANNIS ANDREOU,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SWIMMING,"SWIMMING MEN'S 1,200 METRES FREESTYLE",SILVER
7998,GEORGIOS ANNINOS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SWIMMING,SWIMMING MEN'S 100 METRES FREESTYLE,NONE
58733,DIMITRIOS DRIVAS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,SWIMMING,SWIMMING MEN'S 100 METRES FREESTYLE FOR SAILORS,BRONZE
3080,ARISTIDIS AKRATOPOULOS,M,25,GREECE-3,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,TENNIS,TENNIS MEN'S DOUBLES,NONE
3082,"KONSTANTINOS ""KOSTAS"" AKRATOPOULOS",M,25,GREECE-3,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,TENNIS,TENNIS MEN'S DOUBLES,NONE
36532,DEMETRIUS EMMANUEL CASDAGLI,M,23,GREECE-1,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,TENNIS,TENNIS MEN'S DOUBLES,SILVER
